iter	Passed	Remaining
767	7424	2242
768	7433	2232
769	7443	2223
770	7453	2213
771	7463	2204
772	7472	2194
773	7482	2184
774	7492	2175
775	7502	2165
776	7511	2155
777	7521	2146
778	7531	2136
779	7541	2127
780	7551	2117
781	7560	2107
782	7569	2097
783	7580	2088
784	7590	2078
785	7599	2069
786	7609	2059
787	7618	2049
788	7628	2039
789	7637	2030
790	7647	2020
791	7656	2010
792	7666	2001
793	7676	1991
794	7686	1982
795	7696	1972
796	7706	1962
797	7716	1953
798	7726	1943
799	7736	1934
800	7746	1924
801	7756	1914
802	7766	1905
803	7777	1895
804	7786	1886
805	7795	1876
806	7805	1866
807	7815	1857
808	7825	1847
809	7835	1837
810	7843	1827
811	7852	1817
812	7860	1807
813	7868	1797
814	7876	1787
815	7885	1778
816	7895	1768
817	7904	1758
818	7913	1748
819	7922	1739
820	7932	1729
821	7941	1719
822	7951	1710
823	7960	1700
824	7970	1690
825	7979	1680
826	7989	1671
827	7998	1661
828	8007	1651
829	8017	1642
830	8027	1632
831	8036	1622
832	8046	1613
833	8056	1603
834	8065	1593
835	8074	1584
836	8084	1574
837	8094	1564
838	8103	1555
839	8113	1545
840	8122	1535
841	8131	1525
842	8140	1516
843	8149	1506
844	8159	1496
845	8169	1487
846	8179	1477
847	8189	1467
848	8199	1458
849	8209	1448
850	8220	1439
851	8229	1429
852	8240	1420
853	8249	1410
854	8258	1400
855	8267	1390
856	8276	1380
857	8285	1371
858	8294	1361
859	8303	1351
860	8312	1341
861	8321	1332
862	8330	1322
863	8339	1312
864	8348	1303
865	8358	1293
866	8367	1283
867	8376	1273
868	8385	1264
869	8394	1254
870	8403	1244
871	8412	1234
872	8422	1225
873	8431	1215
874	8440	1205
875	8449	1196
876	8459	1186
877	8468	1176
878	8478	1167
879	8486	1157
880	8496	1147
881	8505	1137
882	8516	1128
883	8525	1118
884	8536	1109
885	8545	1099
886	8555	1089
887	8565	1080
888	8574	1070
889	8584	1061
890	8594	1051
891	8604	1041
892	8613	1032
893	8623	1022
894	8633	1012
895	8642	1003
896	8652	993
897	8662	983
898	8671	974
899	8681	964
900	8690	954
901	8700	945
902	8709	935
903	8719	925
904	8728	916
905	8738	906
906	8747	896
907	8757	887
908	8767	877
909	8776	868
910	8786	858
911	8795	848
912	8805	839
913	8815	829
914	8825	819
915	8835	810
916	8844	800
917	8854	790
918	8863	781
919	8873	771
920	8882	761
921	8891	752
922	8901	742
923	8910	732
924	8919	723
925	8928	713
926	8938	703
927	8947	694
928	8957	684
929	8966	674
930	8975	665
931	8985	655
932	8994	645
933	9004	636
934	9014	626
935	9023	617
936	9033	607
937	9043	597
938	9052	588
939	9062	578
940	9071	568
941	9081	559
942	9091	549
943	9100	539
944	9110	530
945	9119	520
946	9129	510
947	9139	501
948	9149	491
949	9159	482
950	9168	472
951	9178	462
952	9187	453
953	9196	443
954	9206	433
955	9215	424
956	9225	414
957	9237	404
958	9246	395
959	9254	385
960	9262	375
961	9271	366
962	9280	356
963	9288	346
964	9297	337
965	9304	327
966	9313	317
967	9322	308
968	9331	298
969	9339	288
970	9348	279
971	9358	269
972	9367	259
973	9376	250
974	9384	240
975	9393	230
976	9402	221
977	9411	211
978	9421	202
979	9429	192
980	9438	182
981	9447	173
982	9456	163
983	9464	153
984	9473	144
985	9481	134
986	9490	125
987	9499	115
988	9508	105
989	9517	96
990	9525	86
991	9532	76
992	9541	67
993	9549	57
994	9558	48
995	9566	38
996	9575	28
997	9584	19
998	9593	9
999	9601	0
